Team,Player
New York Islanders,Bo
Minnesota Wild,Bo
Winnipeg Jets,Bo
Chicago Blackhawks,Bo
Florida Panthers,Dennis
Ottawa Senators,Dennis
Utah Mammoth,Dennis
Anaheim Ducks,Dennis
Nashville Predators,Greg
Tampa Bay Lightning,Greg
Philadelphia Flyers,Greg
Edmonton Oilers,Greg
Columbus Blue Jackets,Lee
Carolina Hurricanes,Lee
Vancouver Canucks,Lee
New Jersey Devils,Lee
Dallas Stars,Norm
Buffalo Sabres,Norm
St. Louis Blues,Norm
New York Rangers,Norm
Seattle Kraken,Phil
Toronto Maple Leafs,Phil
Boston Bruins,Phil
Los Angeles Kings,Phil
San Jose Sharks,Rob
Washington Capitals,Rob
Colorado Avalanche,Rob
Calgary Flames,Rob
Vegas Golden Knights,Russ
Detroit Red Wings,Russ
Pittsburgh Penguins,Russ
Montréal Canadiens,Russ
